"P1","P2","P3","P4","Hypothesis","GoldLabel"
"A white man in a white room trying to put a frame together.","pictures sitting down.","a white room filled with pictures.","a white room filled with pictures.","A man is standing on table to repait fan.","contradiction"
"a mountain covered in pine trees.","A young girl with a big black coat jumping surrounded by a mountain.","A young girl with a big black coat jumping surrounded by white snow.","A young girl with a big black coat jumping surrounded by white snow.","A toddler with an oversized coat plays in the snow.","neutral"
"area surrounded by trees.","a grassy fenced in area.","Two dogs running in a grassy.","area surrounded by trees.","Two puppies trying to get out of a fence.","neutral"
"A male athlete is wearing a shirt from Nike.","A male athlete is wearing a teal sweatband.","A male athlete is holding a tennis racket.","A male athlete is wearing a shirt from Nike.","An athlete is competing in a tennis match.","neutral"
"A man holding a newborn baby in a white blanket.","A man holding a newborn baby in a pink blanket.","A man holding a newborn baby in a blue blanket.","A man holding a newborn baby in a pink blanket.","A mom holds a baby","contradiction"
"An African American man wearing coat.","An African American man walking in a city.","An African American man wearing a sweatshirt.","An African American man wearing a sweatshirt.","A woman is wearing a coat in the countryside.","contradiction"
"a nice park jogging path surrounded by trees.","a nice park jogging path surrounded by spring foliage.","A man jogging on a nice park jogging path.","a nice park jogging path surrounded by spring foliage.","It's the first day of spring and this man takes a jog to celebrate","neutral"
"A white dog with his tongue out is in the snow.","A brown dog with his tongue out is in the snow.","A black dog with his tongue out is in the snow.","A brown dog with his tongue out is in the snow.","There are animals outdoors.","entailment"
"a man wearing a tan pants.","a man wearing a green shirt.","a closeup blurred image of a man.","a closeup blurred image of a man.","A man wears a black shirt and blue jeans.","contradiction"
"Two women in blue clothes laughing .","Two women in black clothes laughing .","Two women having fun.","Two women in black clothes laughing .","Two women laugh at the vulgar joke.","neutral"
"women are planting a leafless tree.","men are planting a leafless tree.","A group are planting a leafless tree.","women are planting a leafless tree.","People are working together.","entailment"
"top looking at them.","Truck filled with a man on top.","Truck filled with 5 gallons bottles in the back.","Truck filled with 5 gallons bottles in the back.","A truck filled with 5-gallon bottles is getting ready to depart.","neutral"
"A young man sodas wearing a sweater on his hips.","A young man pops .","A young man is selling ice.","A young man sodas wearing a sweater on his hips.","theh young man is riding a bike","contradiction"
"its reflection are seen near a pond.","a pond ringed by dry foliage.","A black dog are seen near a pond.","a pond ringed by dry foliage.","Dog drinks out of small pond","neutral"
"a large pot wearing a yellow apron.","a large pot holding the lid.","Woman standing in front of a large pot.","a large pot holding the lid.","a lady is in front of a big pot filled with water","neutral"
"a woman are sitting outside with large building.","large building surrounding them.","A man are sitting outside with large building.","a woman are sitting outside with large building.","Two women were talking with each other sitting on a park bench.","contradiction"
"A woman in shorts listens to headphones.","A woman in a black tank top listens to headphones.","A woman walks on a sidewalk next to water.","A woman in shorts listens to headphones.","Someone is listening to headphones.","entailment"
"Men looking at a white race car.","Men looking at a red race car.","Men are standing around.","Men are standing around.","A group looks at a car.","entailment"
"A woman to be dancing in a bikini top with a straw hat on her head.","A woman to be dancing in a bikini top with a matching flowered skirt.","A woman appears .","A woman to be dancing in a bikini top with a matching flowered skirt.","The woman has drank a lot of alcohol.","neutral"
"a white bird are at picnic tables near water.","a woman are at picnic tables near water.","A man are at picnic tables near water.","A man are at picnic tables near water.","There are only women at the picnic table.","contradiction"
"A middle - aged man in khaki pants is putting a golf ball.","A middle - aged man in navy sweater is putting a golf ball.","A middle - aged man in a white hate is putting a golf ball.","A middle - aged man in khaki pants is putting a golf ball.","The man is playing golf","entailment"
"A group of people including a man are holding a piece of paper in front of a table with food.","A group of people including a lady are holding a piece of paper in front of a table with food.","A group of people including a nun are holding a piece of paper in front of a table with food.","A group of people including a man are holding a piece of paper in front of a table with food.","The people are outside in traffic.","contradiction"
"people holding drums.","A group of people is being photographed at the boardwalk.","people wearing red shirts.","A group of people is being photographed at the boardwalk.","A group of guitarists play a song at the train station.","contradiction"
"a orange cone shaped light.","Two women looking towards a tower with a orange cone.","Two women are standing in the snow.","Two women looking towards a tower with a orange cone.","two women in bikinis on a beach","contradiction"
"Two girls is checking her cellphone.","Two girls are one.","Two girls are ice skating.","Two girls are ice skating.","One girl has a black phone.","neutral"
"groom in white look to be dancing .","bride in white look to be dancing .","bride in white holding each other.","groom in white look to be dancing .","A married couple are sharing a dance.","entailment"
"another man standing on sidewalk.","A man in talking on another man.","A man in silver car talking on cellphone.","A man in silver car talking on cellphone.","The man in the silver car is explaining the accident to his insurance agent.","neutral"
"a mountain wearing a red anorak.","a mountain wearing goggles.","A skier is skiing down a mountain.","A skier is skiing down a mountain.","A woman is working hard.","contradiction"
"a balcony overlooking the buildings below.","a balcony overlooking the street.","Two men sit on a balcony.","Two men sit on a balcony.","A man and a woman are enjoying the scenery of their city on a balcony.","neutral"
"the son are playing together .","the wife are playing together .","The man are playing together .","The man are playing together .","Adults play with a child.","entailment"
"A waitress is performing in a restaurant with a top hat in her left hand.","a restaurant with her arms spread out .","A waitress is performing in a restaurant with her arms.","a restaurant with her arms spread out .","The waitress is holding an item.","entailment"
"a checkered hat is holding a waiters tray.","black jacket is holding a waiters tray.","A man in checkered pants is holding a waiters tray.","A man in checkered pants is holding a waiters tray.","The man is near a tray.","entailment"
"A woman wearing black biking gear.","A woman biking up a hill.","A woman wearing red biking gear.","A woman wearing black biking gear.","The person is outside.","entailment"
"she is dressing in a bright green striped sweater.","she is dressing in a bright pink striped sweater.","A young woman is sitting on a rock bench.","A young woman is sitting on a rock bench.","A woman is sitting on a bench waiting for her blind date to arrive.","neutral"
"A man with sandals sweeps steps with a stick broom.","A man with a hat sweeps steps with a stick broom.","A man with dark blue clothes sweeps steps with a stick broom.","A man with dark blue clothes sweeps steps with a stick broom.","A man is sweeping his storefront to make it clean before customers show up.","neutral"
"Two men practicing martial arts in a park.","one the other wearing a blue polo shirt.","one wearing a white vest.","one wearing a white vest.","they are doing karate","neutral"
"the flowers are being dropped down the aisle.","a traditional wedding being held at a church house.","Two young children stand in as bride's children during a traditional wedding.","the flowers are being dropped down the aisle.","One child is age fifty and the other youngy child is age fourty.","contradiction"
"a guitarist are pictured in this concert photo.","this concert photo performing one of their songs.","A lead singer are pictured in this concert photo.","this concert photo performing one of their songs.","The sing and guitarist are perfoming a bad song","neutral"
"a man bows his head in front of two tea cups.","a man bows his head in front of four red glasses.","a man bows his head in front of six green glasses.","a man bows his head in front of two tea cups.","A man is performing karate with his students","contradiction"
"Two people standing in front of a yellow building with graffiti.","Two people standing in front of a yellow building with a rock group.","Two people standing in front of a yellow building with a painted mural of an athlete.","Two people standing in front of a yellow building with a rock group.","The two people are chatting together.","neutral"
"Two woman are sitting at a table in a cafeteria with yellow chairs.","Two woman are sitting at a table in a cafeteria with green chairs.","Two woman are sitting at a table in a cafeteria with blue chairs.","Two woman are sitting at a table in a cafeteria with yellow chairs.","The women are eating hot dogs","neutral"
"A group of children treks through a field.","a field containing an old stone wall.","A group of adults treks through a field.","a field containing an old stone wall.","A large group passes an old stone wall on their way to a picnic area.","neutral"
"an umbrella walks past a parking meter.","a long trench coat walks past a parking meter.","A man with white hair walks past a parking meter.","an umbrella walks past a parking meter.","the man is a ghost","neutral"
"a striped blue shirt walks on sand.","a striped white shirt walks on sand.","A slender man wearing rolled pants.","a striped blue shirt walks on sand.","The man is wearing multiple colors.","entailment"
"About a dozen people looking out over the water.","About a dozen people holding hands.","About a dozen people are standing on a beach.","About a dozen people holding hands.","Peoplw are outdo0rs","entailment"
"a girl are swinging on a swing.","a swing set in a park.","A boy are swinging on a swing.","A boy are swinging on a swing.","There are a boy and a girl swimming in a pool.","contradiction"
"Two men are fighting for a yellow soccer ball.","one wearing a red shirt.","one wearing a white shirt.","Two men are fighting for a yellow soccer ball.","men in playoff match","neutral"
"a studio containing many different technologies.","a studio containing many buttons.","Two individuals are in a studio.","a studio containing many buttons.","A couple of people sit in front of a studio control panel","entailment"
"their attention to be directed at something.","their attention seems .","A bunch of Caucasians are dining.","their attention seems .","There is a child at the next table screaming, distracting the diners.","neutral"
"A man in jeans stands on a crane.","a crane working on an awning next to a man in a blue shirt.","A man in a plaid shirt stands on a crane.","A man in jeans stands on a crane.","the man is at home cooking pasta","contradiction"
"A waitress is performing in a restaurant with a top hat in her left hand.","a restaurant with her arms spread out .","A waitress is performing in a restaurant with her arms.","A waitress is performing in a restaurant with her arms.","The waitress is at work.","neutral"
"A group of people wearing costumes.","people standing around at night.","people sitting wearing costumes.","people standing around at night.","They are at a Halloween party.","neutral"
"one wearing the other wearing red.","one wearing blue wearing.","Two women are competing in archery.","Two women are competing in archery.","Two men that are rivals.","contradiction"
"officers dressed in black boots.","A group of officers are lined across a city street.","officers dressed in black uniforms.","A group of officers are lined across a city street.","A group of officers are waiting to oversee an execution.","neutral"
"a grocery cart holding a bag of wearing a winter hat with tassels.","a grocery cart holding a bag of potatoes.","A little girl sits on the bottom of a grocery cart.","a grocery cart holding a bag of wearing a winter hat with tassels.","Some food is shown here.","entailment"
"A woman with shiny decorations in her hair is waving orange scarves.","A woman with shiny decorations in her hair is waving blue scarves.","A woman with shiny decorations in her hair is waving around purple scarves.","A woman with shiny decorations in her hair is waving blue scarves.","The woman in the photo is bald.","contradiction"
"cars going down the road.","People standing on cars.","People standing on a sidewalk.","cars going down the road.","It is crowd inside.","contradiction"
"a woman are sitting outside with large building.","large building surrounding them.","A man are sitting outside with large building.","A man are sitting outside with large building.","Two people are sitting next to a large building and were talking.","neutral"
"A little boy smiles for the camera.","a tree wearing a hooded sweater.","A little boy stands behind a tree.","a tree wearing a hooded sweater.","There is no one behind the tree looking at the camera.","contradiction"
"Two men are dressed in suspenders.","Two men are dressed in blue neckties.","Two men are dressed in white shirts.","Two men are dressed in white shirts.","The men are wearing skirts.","contradiction"
"benches holding poles.","benches facing the aisle.","Women are seated on benches.","benches holding poles.","Woman are sitting.","entailment"
"Two woman wearing sunglasses making an oh face.","the blond is looking at the camera.","Two woman walking .","the blond is looking at the camera.","A woman eats a piece of pie.","contradiction"
"A little girl is wearing a purple shirt.","A little girl is wearing a purple helmet.","A little girl is riding on her scooter.","A little girl is riding on her scooter.","The girl is having fun.","neutral"
"graffiti painted on the walls.","Several people walk down a set of stairs in an alleyway with graffiti.","Several people walk up.","Several people walk up.","People are walking outside.","entailment"
"a man in white shorts are jogging down the street.","a man in a red shirt are jogging down the street.","a man in black are jogging down the street.","a man in black are jogging down the street.","The men are running a race.","neutral"
"A man in a black cap sits outside a shop.","a shop reading a book with a magnifying glass.","A man in a black sweater sits outside a shop.","A man in a black cap sits outside a shop.","A man uses a tool outside a building.","entailment"
"Men are standing about a truck.","a truck carrying a white substance.","Men are standing on a truck.","a truck carrying a white substance.","Men are located near a truck.","entailment"
"she is carrying a mannequin.","a street talking on the phone.","A woman walking on a street.","she is carrying a mannequin.","The woman's hands are full with what she is carrying.","entailment"
"A man in a black pants stands in a sunny alley.","A man in a white shirt stands in a sunny alley.","A man in a black vest stands in a sunny alley.","A man in a black pants stands in a sunny alley.","A man is standing in a alley on a hot summer day.","entailment"
"A man in khaki shorts sews on a piece of cloth.","a piece of cloth covering a ramshackle shade structure.","A man in a sleeveless brown shirt sews on a piece of cloth.","A man in khaki shorts sews on a piece of cloth.","A man tearing down window curtains.","contradiction"
"Two men smiling .","Two men facing each other.","Two men sit inside a car.","Two men smiling .","The duo is whitewater rafting.","contradiction"
"Three women , of lifestyles are treating their bodies to a healthy workout.","Three women , of sizes are treating their bodies to a healthy workout.","Three women , of various shapes are treating their bodies to a healthy workout.","Three women , of sizes are treating their bodies to a healthy workout.","The women are at the gym.","neutral"
"A woman with a red plaid shirt is looking towards the camera.","A woman with sunglasses is looking towards the camera.","A woman with bright red lipstick is looking towards the camera.","A woman with bright red lipstick is looking towards the camera.","A child takes a picture of his toys.","contradiction"
"This is an Indian warrior in full warrior attire with huge axe in both hands.","This is an Indian warrior in full warrior attire with face mask.","This is an Indian warrior in full warrior attire with fur hide.","This is an Indian warrior in full warrior attire with face mask.","A man in a tuxedo is attending the opera.","contradiction"
"a room decorated with blue flags.","a room decorated with red curtains.","Several children in colorful costumes sit in front of an iMac monitor in a room.","a room decorated with blue flags.","Children are Googling how to dress for cosplay.","neutral"
"a leather jacket plays the trumpet on a fall day.","a hat plays the trumpet on a fall day.","An older man in sunglasses plays the trumpet on a fall day.","a hat plays the trumpet on a fall day.","The man is very young.","contradiction"
"A man in sunglasses with a black baseball cap holds a hand up to the sea.","his fingers touching tips.","A man in sunglasses with a blue windbreaker holds a hand up to the sea.","A man in sunglasses with a black baseball cap holds a hand up to the sea.","The man is watching a boat in the distance.","neutral"
"A child in black shorts poses in a large plastic.","a large plastic sled Christmas.","A child in a red shirt poses in a large plastic.","A child in black shorts poses in a large plastic.","There's a kid in a sled making a pose.","entailment"
"A brown dog runs in a field.","A black dog runs in a field.","A white dog runs in a field.","A brown dog runs in a field.","Three dogs playing in a field.","neutral"
"a woman in leather jeans are jumping in the air.","a woman in leather jackets are jumping in the air.","A man are jumping in the air.","a woman in leather jackets are jumping in the air.","The people are outside.","entailment"
"An old asian woman is sitting in front of a subway passengers.","An old asian woman are walking by her.","An old asian woman is sitting in front of a subway train.","An old asian woman are walking by her.","A subway spits out its passengers and screams loudly.","contradiction"
"it is open.","a store called Burrito Bandidos.","A woman in a red shirt is walking past a store.","A woman in a red shirt is walking past a store.","The woman is sitting on a couch.","contradiction"
"a white bird are at picnic tables near water.","a woman are at picnic tables near water.","A man are at picnic tables near water.","A man are at picnic tables near water.","There is an animal at the picnic table.","entailment"
"a gentleman in a brown coat are sitting at an outdoor table.","a black hat are sitting at an outdoor table.","A woman in a fur coat are sitting at an outdoor table.","A woman in a fur coat are sitting at an outdoor table.","The people are swimming at the pool club","contradiction"
"A cute female gymnast wearing a red leotard.","A cute female gymnast dismounts from the gymnastic bars.","A cute female gymnast wearing a black leotard.","A cute female gymnast wearing a red leotard.","The woman is reading her book","contradiction"
"a striped shirt standing in the cleared road.","A street blocked guarded with one man in a striped shirt.","A street blocked off .","a striped shirt standing in the cleared road.","The road is empty except for workers","entailment"
"a wooden bench posed for the camera in front of a beautiful scene of trees for the shoreline.","a wooden bench posed for the camera in front of a beautiful scene of smooth water for the shoreline.","A man in a blue jacket sits on a wooden bench.","a wooden bench posed for the camera in front of a beautiful scene of smooth water for the shoreline.","The man is sitting on a swing.","contradiction"
"A street market crowded with their wares.","A street market crowded with vendors.","A street market crowded with customers.","A street market crowded with vendors.","People dining at a restaurant.","contradiction"
"one wearing the other wearing a Bulls jersey.","Two guys are playing basketball.","one wearing a Hawks jersey.","one wearing a Hawks jersey.","Two men are playing with a ball.","entailment"
"Twelve people taking a drink from a cup.","one man standing .","Twelve people sitting at a picnic table with.","one man standing .","Three lawyers are discussing a case at their office.","contradiction"
"woman veterinarian checking on a very large tiger.","a very large tiger laying on the ground.","A man veterinarian checking on a very large tiger.","woman veterinarian checking on a very large tiger.","The tiger is sick and needs care.","neutral"
"A group of women chat .","A group of young men chat .","A group observe the menu at a fancy restaurant.","A group observe the menu at a fancy restaurant.","A group of people meeting together at an outdoor restaurant.","neutral"
"A little boy gets milk all over his table.","A little boy gets milk all over his face.","A little boy drinks milk.","A little boy gets milk all over his face.","the kid has milk on his face on a school day","neutral"
"A woman in gray sweater walks next to a many in a blue sweat suit.","A woman in black tights walks next to a many in a blue sweat suit.","A woman in uggs walks next to a many in a blue sweat suit.","A woman in black tights walks next to a many in a blue sweat suit.","A woman is wearing sneakers","contradiction"
"child eat ice cream cones on bridge.","bridge decorated with flowers.","Two women eat ice cream cones on bridge.","Two women eat ice cream cones on bridge.","The people are outdoors.","entailment"
"A man with earphones is on a city street.","a city street holding an mp3 player in his hand.","A man with sunglasses is on a city street.","a city street holding an mp3 player in his hand.","The man is traveling on a street.","neutral"
"A man in a man in a white shirt are standing together with some sort of tent behind them.","A man in a yellow shirt are standing together with some sort of tent behind them.","A man stuffed animals on the ground behind the man in the white shirt.","A man stuffed animals on the ground behind the man in the white shirt.","The men are asleep.","contradiction"
"2 men stand on a wet road.","a wet road looking at something behind them.","A woman stand on a wet road.","A woman stand on a wet road.","Three people are looking down at their feet as they cross a rickety bridge.","contradiction"
"a young woman using her cellphone.","A young man looking at a young woman.","A young man stands with his hands in his pockets.","A young man looking at a young woman.","The young man is waiting for his girlfriend to finish her conversation.","neutral"
"An African American man wearing coat.","An African American man walking in a city.","An African American man wearing a sweatshirt.","An African American man wearing coat.","A man is heading into the city.","entailment"
"hands drawn across the front.","A woman consisting of hands.","A woman is dressed in a homemade top.","hands drawn across the front.","woman designs her own clothes","neutral"
"A male in a business suit sitting in red chairs outside a cafe.","A male in a business suit having breakfast.","A male in a business suit talking with a brunette female.","A male in a business suit sitting in red chairs outside a cafe.","Both have brown hair and wear suits.","neutral"
"A lone musician in black playing singing into a microphone.","A lone musician in black playing an acoustic guitar into a microphone.","A lone musician in black is on stage.","A lone musician in black is on stage.","A man is eating a cup.","contradiction"
"stilts playing the drums.","A festival is going on right outside a lake with several drummers in a man on stilts.","A festival is going on right outside a lake with several drummers in red shirts.","stilts playing the drums.","An outdoors festival with musicians playing music.","entailment"
"People having a discussion.","a table filed with paperwork.","People sitting at a table.","People sitting at a table.","People discussing team work","entailment"
"a child in a red jacket stare at a woman.","a woman using a device.","A man in a red jacket stare at a woman.","a child in a red jacket stare at a woman.","A boy and his father watch a woman on cell phone.","neutral"
"A man is accompanied by a tree.","A man is accompanied by pigeons.","A man is laying down at the bottom of some stairs.","A man is accompanied by a tree.","A man standing on top of a roof feeding the birds.","contradiction"
"bleachers clapping .","people sitting on bleachers.","A blue ""thing"" costume gathered around a bunch of people.","people sitting on bleachers.","A group of students sits on bleachers clapping","neutral"
"a woman smiles so big While working.","it makes her eyes close.","While working a woman makes a peace sign.","While working a woman makes a peace sign.","The working woman is right handed.","neutral"
"A child is sitting in a green tote bag with only its poking out.","A child is sitting in a green tote bag with only its hair.","A child is sitting in a green tote bag with only its eyes.","A child is sitting in a green tote bag with only its hair.","The child is in a yellow bag.","contradiction"
"A person with a white shirt is standing on a sidewalk with something red.","something red draped over their shoulder.","A person with blue jeans is standing on a sidewalk with something red.","A person with blue jeans is standing on a sidewalk with something red.","A group of people are getting on a plane.","contradiction"
"Several men in face masks work in an area under construction.","Several men in helmets work in an area under construction.","Several men in red reflective vests work in an area under construction.","Several men in red reflective vests work in an area under construction.","the men are paid highly","neutral"
"a gentleman in a brown coat are sitting at an outdoor table.","a black hat are sitting at an outdoor table.","A woman in a fur coat are sitting at an outdoor table.","a gentleman in a brown coat are sitting at an outdoor table.","There are people outdoors","entailment"
"a building waiting for something.","A crowd of people stand in line in front of a building.","A crowd of people dressed for warm weather.","a building waiting for something.","People stayed home.","contradiction"
"A person with a purple shirt is standing outside a restaurant.","A person with a purple head is standing outside a restaurant.","a purple head covering .","A person with a purple shirt is standing outside a restaurant.","Nobody outside is wearing purple.","contradiction"
"A woman in gray sweater walks next to a many in a blue sweat suit.","A woman in black tights walks next to a many in a blue sweat suit.","A woman in uggs walks next to a many in a blue sweat suit.","A woman in gray sweater walks next to a many in a blue sweat suit.","A woman is walking 3 miles","neutral"
"A woman in sunglasses lies on a red blanket in a grassy field with a bike.","a bike set down next to her.","A woman in a blue shirt lies on a red blanket in a grassy field with a bike.","a bike set down next to her.","A young woman relaxes outdoors.","entailment"
"a man are performing a musical piece.","A woman are performing a musical piece.","each playing a violin.","A woman are performing a musical piece.","The woman and man are at home playing twister.","contradiction"
"a orange cone shaped light.","Two women looking towards a tower with a orange cone.","Two women are standing in the snow.","Two women looking towards a tower with a orange cone.","It was cold and snow was on the ground.","entailment"
"Players in the white uniforms are standing on a soccer field.","Players in the red uniforms are standing on a soccer field.","bystanders are standing on a soccer field.","bystanders are standing on a soccer field.","There are people in a soccer field.","entailment"
"A group of women bathe together .","A group of women talk .","A group of women in saris sit .","A group of women bathe together .","Women are running down a dirt path.","contradiction"
"A group of women are sitting in a group.","A group of women are standing .","women dressed for roller derby.","women dressed for roller derby.","The roller derby team is planning game strategy.","neutral"
"a room filled with dryers.","a room filled with washing machines.","A man sits on plastic seats in front of a cow mural in a room.","a room filled with washing machines.","The man is sitting","entailment"
"light blazer sitting on concrete bench next to small girl in jeans.","light blazer sitting on concrete bench next to small girl in purple shirt.","Gentleman dressed in light blazer.","light blazer sitting on concrete bench next to small girl in jeans.","The father and daughter are visiting their local park.","neutral"
"other men in orange hard hats stand atop a platform.","a platform overlooking the wide open vista.","Cameramen stand atop a platform.","Cameramen stand atop a platform.","There are a lot of men, some in orange hard hats and other with cameras standing on a building platform","entailment"
"people wearing goggles.","people wearing wetsuits.","A wave crashing through a group of people.","A wave crashing through a group of people.","A few people are swimming in the water.","neutral"
"light blazer sitting on concrete bench next to small girl in jeans.","light blazer sitting on concrete bench next to small girl in purple shirt.","Gentleman dressed in light blazer.","light blazer sitting on concrete bench next to small girl in jeans.","There are two people in this picture.","entailment"
"Four teenagers laughing .","Four teenagers standing talking.","Four teenagers standing next to a bus.","Four teenagers standing talking.","Some teenagers are outside a school bus as they talk and laugh.","neutral"
"the man in the glasses to be saying something funny.","the man in the glasses appears .","Several gentlemen are speaking into a microphone.","Several gentlemen are speaking into a microphone.","Two men are speaking in to a microphone, and one of them is funny.","entailment"
"A couple sits on a ledge to the left of a large tower of blue cotton candy.","A couple sits on a ledge to the left of a large tower of purple cotton candy.","A couple sits on a ledge to the left of a large tower of pink cotton candy.","A couple sits on a ledge to the left of a large tower of purple cotton candy.","A couple is sitting on a couch.","contradiction"
"A group of friends to bluff each other into making a terrible mistake.","friends trying to bluff each other into making a terrible mistake.","friends playing cards.","friends playing cards.","The people are playing a card game.","entailment"
"Men are standing about a truck.","a truck carrying a white substance.","Men are standing on a truck.","a truck carrying a white substance.","A truck sits abandoned on the side of the street.","contradiction"
"people holding drums.","A group of people is being photographed at the boardwalk.","people wearing red shirts.","people holding drums.","The people are sitting on swings.","contradiction"
"a woman in leather jeans are jumping in the air.","a woman in leather jackets are jumping in the air.","A man are jumping in the air.","A man are jumping in the air.","The people are having lots of fun.","neutral"
"a woman eyeing sheet music.","a woman playing a violin.","One woman playing an oboe behind a woman.","a woman playing a violin.","the cat eats pudding","contradiction"
"A man in a brown jacket is speaking to another man with a green cap.","A man in a brown jacket is speaking to another man with a white beard.","a brown jacket holding a red bag.","A man in a brown jacket is speaking to another man with a green cap.","Two men with clothes on are shaving a conversation.","entailment"
"A smiling young child wearing a gray lined shirt.","A smiling young child holding an electric toothbrush.","A smiling young child wearing a blue lined shirt.","A smiling young child holding an electric toothbrush.","An old man is flossing his teeth slowly.","contradiction"
"A police wearing a hat.","A police wearing sunglasses.","A police woman smiling .","A police wearing sunglasses.","The police woman is happy.","entailment"
"Two men playing one woman singing.","Two men performing in a band.","Two men playing guitar.","Two men performing in a band.","Several people are performing music.","entailment"
"This Nanny has close as well two other strollers.","the two children seen in the picture.","This Nanny is being attentive to the two children.","the two children seen in the picture.","man jumps high","contradiction"
"another dog chasing it.","A black dog running with another dog.","A black dog running with a stuffed bird in its mouth.","A black dog running with another dog.","The two dogs are laying in the grass.","contradiction"
"a man with a backpack is riding a bicycle past red stone wall.","a man with a backpack is riding a bicycle past red brick.","a backpack wearing a yellow raincoat.","a man with a backpack is riding a bicycle past red brick.","A man is riding a bike.","entailment"
"A blond girl with blue jeans walks down a sidewalk.","A blond girl with white tank top walks down a sidewalk.","A blond girl with dark sunglasses walks down a sidewalk.","A blond girl with white tank top walks down a sidewalk.","The girl is wearing flip flops.","neutral"
"One lonely individual with a khaki - colored ski pants is crosscountry skiing , high up in the mountains.","the mountains overlooking a large lake.","One lonely individual with a yellow backpack is crosscountry skiing , high up in the mountains.","One lonely individual with a khaki - colored ski pants is crosscountry skiing , high up in the mountains.","A person has a red backpack","contradiction"
"A man in a man in a white shirt are standing together with some sort of tent behind them.","A man in a yellow shirt are standing together with some sort of tent behind them.","A man stuffed animals on the ground behind the man in the white shirt.","A man stuffed animals on the ground behind the man in the white shirt.","Each of the men are wearing baseball uniforms.","contradiction"
"steps talking .","lounging chairs facing each other.","Two old ladies sitting in lounging chairs in front of steps.","lounging chairs facing each other.","Women sit down to talk about their grandkids.","neutral"
"the flowers are being dropped down the aisle.","a traditional wedding being held at a church house.","Two young children stand in as bride's children during a traditional wedding.","Two young children stand in as bride's children during a traditional wedding.","A school dance party","contradiction"
"a puddle reflecting the image of a building.","A man in a suit walks on a sidewalk near a puddle.","a suit carrying a briefcase.","a suit carrying a briefcase.","The man is carrying a briefcase walking on a sidewalk crowded with people.","neutral"
"A man in nothing but a pair of green crocs stands on a bridge.","a bridge covered with snow.","A man in nothing but a pair of shorts stands on a bridge.","A man in nothing but a pair of green crocs stands on a bridge.","The man is cold","neutral"
"a woman face each other on opposite sides of a table.","a table overflowing with works of art.","A man face each other on opposite sides of a table.","a table overflowing with works of art.","A man and a woman sharing a handshake inside of a doctors office.","contradiction"
"An older gentleman in a coat is carrying a end table.","An older gentleman in a coat is carrying a garbage bag.","An older gentleman in a coat is carrying a walking cane with no top.","An older gentleman in a coat is carrying a end table.","The man is walking to the dumpster.","neutral"
"A man with a gray long - sleeved shirt is holding a telephone in his left hand.","A man with eyeglasses is holding a telephone in his left hand.","A man with brown hair is holding a telephone in his left hand.","A man with brown hair is holding a telephone in his left hand.","The brunette man, wearing glasses, was holding the phone in his left hand.","entailment"
"two donkeys are passing each other on a narrow road.","a man are passing each other on a narrow road.","A truck are passing each other on a narrow road.","a man are passing each other on a narrow road.","The two donkeys are carrying a heavy load.","neutral"
"Musicians dressed in white shirts performing at a sports arena.","Musicians dressed in red shirts performing at a sports arena.","Musicians dressed in khaki pants performing at a sports arena.","Musicians dressed in white shirts performing at a sports arena.","People perform at a sports arena.","entailment"
"a red life jacket waterskiing in a blue lake.","A young man dressed in a red life jacket.","A young man dressed in blue swimming trunks.","a red life jacket waterskiing in a blue lake.","A guy water-skiing during his summer vacation.","neutral"
"About eight women in blue dresses bow towards a man.","a man dressed in black.","About eight women in purple dresses bow towards a man.","a man dressed in black.","One woman in pants.","contradiction"
"A yellow airplane is flying through the air.","A red airplane is flying through the air.","A blue airplane is flying through the air.","A blue airplane is flying through the air.","The airplane is stuck at the gate.","contradiction"
"2 women playing a violin.","2 women playing a blue guitar.","2 women are standing in a street.","2 women are standing in a street.","The women are playing Western music.","neutral"
"A white dog is looking at a tennis ball.","a tennis ball floating in a pool.","A brown dog is looking at a tennis ball.","A white dog is looking at a tennis ball.","A dog is eating food from his bowl.","contradiction"
"A child in period costume looking at a table with a basket of apples.","A child in period costume looking at a table with cup.","A child in period costume looking at a table with a bowl.","A child in period costume looking at a table with a bowl.","The child is wearing his Blues Clues pajamas.","contradiction"
"the snow covered mountains.","A hiker looking towards the snow.","A hiker is sitting on the ground.","A hiker looking towards the snow.","The snow is white.","neutral"
"one wearing shin guards lay horizontally on logs with their backpacks in sight.","Two men lay horizontally on logs with their backpacks in sight.","one wearing a teal shirt.","one wearing a teal shirt.","a pair of men lay down near their packs","entailment"
"A man in a layered green over black shirt jumps in front of a run down industrial building.","A man in jeans jumps in front of a run down industrial building.","A man in black oxfords jumps in front of a run down industrial building.","A man in jeans jumps in front of a run down industrial building.","The man was outside jumping up and down.","entailment"
"people wearing red sashes.","A group of people walk down a street.","people wearing white clothing.","people wearing white clothing.","people leaving work","neutral"
"A dark - haired young man in a glasses makes a plate on a pottery wheel.","A dark - haired young man in a green scarf makes a plate on a pottery wheel.","A dark - haired young man in a blue shirt makes a plate on a pottery wheel.","A dark - haired young man in a green scarf makes a plate on a pottery wheel.","The man is attending a pottery class dressed casualy.","entailment"
"Woman sitting on holding the leash of a large brown dog.","Woman sitting on holding the leash of a large white dog.","Woman sitting on bench.","Woman sitting on holding the leash of a large white dog.","Woman walks by a bench while walking her cats.","contradiction"
